strain_x,strain_y
0,0
0.0,8.787346221433133e-05
9.157509157508615e-06,0.0
9.157509157508615e-06,0.0
0.0,0.0
9.157509157508615e-06,8.787346221433133e-05
-0.00035714285714294095,0.0
0.0,0.0
0.00035714285714283687,8.787346221433133e-05
0.0,0.0
9.157509157508615e-06,0.0
9.157509157508615e-06,8.787346221433133e-05
9.157509157508615e-06,0.0
9.157509157508615e-06,0.0
0.0003663003663003455,8.787346221433133e-05
0.0,0.0
0.0,0.0
0.00035714285714283687,0.0
9.157509157508615e-06,0.0
9.157509157508615e-06,0.0
0.0003663003663003455,0.0
9.157509157508615e-06,0.0
0.00035714285714283687,0.0
0.0,9.990056038806329e-17
0.0,8.787346221453113e-05
0.0,0.00017700002192924506
0.0,0.0002648734841436777
0.00036630036630044957,0.0002648734841435778
1.0410882575239563e-16,0.0003527469463580091
1.0410882575239563e-16,0.000354000043858493
1.0410882575239563e-16,0.00035525314135867583
1.0410882575239563e-16,0.0005310000657875383
1.0410882575239563e-16,0.00044187350607282434
1.0410882575239563e-16,0.0004418735060729242
1.0410882575239563e-16,0.0006188735280020694
9.157509157508615e-06,0.0007080000877168846
9.157509157508615e-06,0.0007080000877167848
9.157509157508615e-06,0.0007958735499312159
-0.00036630036630024135,0.0007958735499313173
9.157509157508615e-06,0.0007080000877167848
-0.00035714285714293835,0.0007958735499312159
0.00036630036630044957,0.0008837470121456472
0.0,0.0007958735499312159
9.157509157404478e-06,0.0009728735718603626
9.157509157404478e-06,0.0009728735718604625
0.00036630036630024135,0.0010620001315751778
-0.0003479853479854324,0.0010620001315752778
-1.0410882575239563e-16,0.0010620001315752763
-1.0410882575239563e-16,0.0010620001315751778
-0.00035714285714294095,0.0012390001535044243
0.00035714285714283687,0.001149873593789609
0.0,0.001239000153504423
0.0,0.0012390001535045243
0.0,0.0012377470560040404
0.0,0.0013281267132191383
0.0,0.0013268736157188556
-0.0003663003663003455,0.0014147470779332868
1.0410882575239563e-16,0.0013268736157188556
1.0410882575239563e-16,0.0014147470779332853
1.0410882575239563e-16,0.0013268736157188556
-0.0003571428571427328,0.0014147470779332868
-0.0003571428571427328,0.0015026205401477166
1.0410882575239563e-16,0.001593000197362816
-0.00036630036630024135,0.0015930001973628173
-0.0003571428571427328,0.001503873637648102
-0.00034798534798542973,0.001591747099862532
-0.00034798534798542973,0.0016796205620769633
-0.00035714285714293835,0.0016808736595773485
0.0,0.0016821267570776314
-0.00035714285714293835,0.0017687471217916785
-0.00035714285714293835,0.0018591267790069779
-0.00035714285714293835,0.0017687471217916785
-0.00035714285714293835,0.0018578736815063938
-0.00035714285714293835,0.0018578736815064937
-0.00035714285714293835,0.0019470002412213076
-0.0007142857142857752,0.0020348737034357406
-0.0007142857142857752,0.0019470002412213091
9.157509157511217e-06,0.0020361268009360233
-9.157509157511217e-06,0.0021240002631504546
-0.0007142857142857752,0.002122747165650172
-0.00035714285714283687,0.0020348737034357406
-0.00035714285714283687,0.002211873725364886
0.0,0.0022131268228652696
-0.00035714285714283687,0.002211873725364987
0.0,0.002299747187579217
-0.0007234432234432865,0.002301000285079701
0.0,0.0023888737472940336
-0.00035714285714283687,0.0023888737472941334
-0.00035714285714283687,0.002478000307008947
-0.00034798534798532565,0.002476747209508463
-0.00034798534798532565,0.0024780003070088486
-0.00035714285714283687,0.002476747209508463
0.0,0.00265374723143771
-0.00035714285714283687,0.0026537472314378096
-0.00035714285714283687,0.0027416206936520414
-0.0007142857142857752,0.0028320003508673407
-0.0007142857142857752,0.0027428737911525253
-0.00036630036630044957,0.002832000350867339
-0.00035714285714293835,0.0029186207155813874
-0.00035714285714293835,0.0028307472533669565
-0.0007142857142857752,0.0028320003508673407
-0.00036630036630044957,0.002919873813081772
-0.00035714285714283687,0.003007747275296203
-0.0007142857142857752,0.003007747275296103
-0.00035714285714293835,0.0030090003727963857
-0.00035714285714293835,0.003096873835010918
-0.00035714285714293835,0.0031847472972253493
-0.0007234432234432865,0.0031847472972252482
-0.0007142857142857752,0.003273873856940163
-0.0007142857142857752,0.003272620759439681
-0.00036630036630044957,0.003273873856940163
-0.0007234432234432865,0.0034508738788694097
-0.0010805860805860165,0.003361747319154596
-0.0007234432234432865,0.00345087387886921
-0.00036630036630044957,0.00345087387886931
-0.00035714285714283687,0.003627873900798556
-0.00036630036630044957,0.0037157473630129874
-0.00036630036630044957,0.0037157473630128877
-0.00035714285714283687,0.003804873922727803
-0.0007234432234432865,0.0037157473630129874
0.0,0.0038927473849421344
-0.00035714285714283687,0.003981873944657049
-0.00035714285714283687,0.00398187394465695
-0.00036630036630044957,0.004071000504371763
-0.0007234432234432865,0.004069747406871281
-0.00036630036630044957,0.004158873966586196
-0.00035714285714283687,0.00424800052630101
-0.00036630036630044957,0.004246747428800527
-0.00035714285714293835,0.004335873988515443
-0.0007142857142857752,0.004423747450729673
-0.0007234432234432865,0.004425000548230157
-0.00035714285714283687,0.004512874010444688
-0.00035714285714283687,0.004512874010444487
-0.00036630036630044957,0.004600747472659018
0.0,0.0046007474726589195
-0.00035714285714283687,0.004689874032373732
-0.00035714285714283687,0.004777747494588265
-0.00035714285714283687,0.004689874032373834
-0.0003663003663003455,0.004779000592088448
-0.0007234432234431824,0.004777747494588165
-0.00035714285714283687,0.004954747516517412
-0.00035714285714283687,0.004956000614017695
-0.0007234432234431824,0.005042620978731742
-0.00035714285714294095,0.005043874076232128
-0.0003479853479854324,0.005043874076232227
-0.00035714285714294095,0.005133000635947041
-1.0410882575239563e-16,0.005308747560375904
-0.0003663003663003455,0.005220874098161474
-0.00035714285714294095,0.005308747560375703
-0.00035714285714294095,0.005308747560375804
-0.00035714285714294095,0.005397874120090719
-0.0007142857142856737,0.005487000679805334
-0.0003479853479854324,0.0054857475823050506
-0.0003663003663003455,0.005487000679805435
-0.0003663003663003455,0.005664000701734579
-0.0007234432234431824,0.005662747604234297
-1.0410882575239563e-16,0.005751874163949012
-0.00035714285714294095,0.005841000723663826
-1.0410882575239563e-16,0.0058397476261633436
-1.0410882575239563e-16,0.005928874185878258
-0.00035714285714294095,0.005928874185878258
-0.0003663003663003455,0.005930127283378641
-0.0007234432234431824,0.00601674764809269
-0.00035714285714294095,0.006105874207807303
-0.00035714285714294095,0.006105874207807404
-1.0410882575239563e-16,0.0061046211103071195
-0.0003663003663003455,0.00628287422973655
-0.00035714285714294095,0.00619500076752212
-1.0410882575239563e-16,0.006281621132236166
-0.00035714285714294095,0.0062828742297367495
-0.0007234432234431824,0.006459874251665897
-1.0410882575239563e-16,0.006370747691951081
-1.0410882575239563e-16,0.006459874251665797
-1.0410882575239563e-16,0.006549000811380611
0.0,0.006635621176094659
0.0,0.006724747735809574
-0.00035714285714294095,0.006636874273595042
-0.00035714285714294095,0.006724747735809375
-0.00035714285714294095,0.006724747735809475
-0.00035714285714294095,0.006813874295524288
-0.0007234432234431824,0.006903000855239004
-0.00035714285714294095,0.0069017477577387205
-0.00035714285714294095,0.006989621219952951
-0.00035714285714294095,0.0070787477796678665
-0.00035714285714294095,0.007078747779667966
-0.00036630036630044957,0.007254494704096729
-0.00036630036630044957,0.007166621241882297
-0.00035714285714294095,0.007167874339382681
-0.00036630036630044957,0.007343621263811444
-0.00036630036630044957,0.007431494726025875
-0.00036630036630044957,0.007343621263811444
-0.00036630036630044957,0.007344874361311828
-0.0007142857142857778,0.007434000921026642
-0.00036630036630044957,0.007609747845455506
-0.000732600732600691,0.007609747845455606
-0.0007142857142857778,0.007611000942955888
-0.00036630036630044957,0.007697621307669937
-0.00036630036630044957,0.007786747867384652
-0.00036630036630044957,0.007962494791813515
-0.00036630036630044957,0.007875874427099566
-0.00036630036630044957,0.0079637478893139
0.0,0.007874621329598982
-0.00036630036630044957,0.008140747911243144
-0.00036630036630044957,0.007963747889313998
-0.00036630036630044957,0.008228621373457475
-0.0007234432234432865,0.008228621373457475
-0.00036630036630044957,0.00822987447095786
-0.0007234432234432865,0.008316494835671807
-0.00036630036630044957,0.008405621395386722
-0.00036630036630044957,0.00831774793317229
-0.00036630036630044957,0.008406874492887104
-0.0007234432234432865,0.008406874492887004
-0.0007234432234432865,0.008494747955101536
-0.00036630036630044957,0.008583874514816351
-0.00035714285714283687,0.008670494879530397
-0.00035714285714283687,0.008759621439245115
-0.0007234432234432865,0.008760874536745396
-0.0007234432234432865,0.008759621439245115
-0.0007234432234432865,0.00884874799896003
-0.0007234432234432865,0.00884874799895993
-0.00035714285714283687,0.008848747998959829
-0.0007234432234432865,0.009025748020889075
-0.0007234432234432865,0.009024494923388793
-0.00035714285714283687,0.00911487458060399
-0.0007142857142857778,0.009113621483103507
-0.0007234432234432865,0.009290621505032754
-0.0007234432234432865,0.009202748042818322
-0.0007234432234432865,0.009290621505032754
-0.0007234432234432865,0.009379748064747668
-0.0007142857142857778,0.009468874624462283
-0.0007234432234432865,0.009379748064747468
-0.0007234432234432865,0.00955549498917633
-0.00035714285714283687,0.009556748086676713
-0.0007234432234432865,0.009644621548891244
-0.00035714285714283687,0.009644621548891147
-0.00035714285714283687,0.009644621548891045
-0.0007234432234432865,0.009821621570820291
-0.0007234432234432865,0.00982162157082039
-0.0007234432234432865,0.009909495033034822
-0.0007234432234432865,0.009910748130535108
-0.0007234432234432865,0.009910748130535108
-0.0007234432234432865,0.00999987469024992
-0.0007234432234432865,0.010086495054963968
-0.0007234432234432865,0.010175621614678883
-0.0007234432234432865,0.010175621614678785
-0.0007234432234432865,0.010176874712179068
-0.0007234432234432865,0.010264748174393601
-0.0007234432234432865,0.010352621636608031
-0.0007234432234432865,0.010440495098822462
-0.00035714285714283687,0.010352621636608031
